Município,UF,SoloId,Cultura,Ciclo,cad,2/1/2019
Município,UF,SoloId,Cultura,Ciclo,cad,2/1/2019
Santa Maria,RS,1,Milho,Grupo I,43.2,
Santa Maria,RS,2,Milho,Grupo I,60.0,46.16
Santa Maria,RS,3,Milho,Grupo I,76.8,40.27
Santa Maria,RS,1,Milho,Grupo II,43.2,
Santa Maria,RS,2,Milho,Grupo II,60.0,42.53
Santa Maria,RS,3,Milho,Grupo II,76.8,36.72
Santa Maria,RS,1,Milho,Grupo III,43.2,54.34
Santa Maria,RS,2,Milho,Grupo III,60.0,46.57
Santa Maria,RS,3,Milho,Grupo III,76.8,40.39
SantAna Do Livramento,RS,1,Milho,Grupo I,43.2,
SantAna Do Livramento,RS,2,Milho,Grupo I,60.0,
SantAna Do Livramento,RS,3,Milho,Grupo I,76.8,74.24
SantAna Do Livramento,RS,1,Milho,Grupo II,43.2,
SantAna Do Livramento,RS,2,Milho,Grupo II,60.0,
SantAna Do Livramento,RS,3,Milho,Grupo II,76.8,76.42
SantAna Do Livramento,RS,1,Milho,Grupo III,43.2,
SantAna Do Livramento,RS,2,Milho,Grupo III,60.0,85.47
SantAna Do Livramento,RS,3,Milho,Grupo III,76.8,83.8
Sananduva,RS,1,Milho,Grupo I,43.2,31.56
Sananduva,RS,2,Milho,Grupo I,60.0,26.49
Sananduva,RS,3,Milho,Grupo I,76.8,23.01
Sananduva,RS,1,Milho,Grupo II,43.2,28.53
Sananduva,RS,2,Milho,Grupo II,60.0,23.66
Sananduva,RS,3,Milho,Grupo II,76.8,20.28
Sananduva,RS,1,Milho,Grupo III,43.2,32.45
Sananduva,RS,2,Milho,Grupo III,60.0,26.93
Sananduva,RS,3,Milho,Grupo III,76.8,23.07
São Borja,RS,1,Milho,Grupo I,43.2,
São Borja,RS,2,Milho,Grupo I,60.0,21.22
São Borja,RS,3,Milho,Grupo I,76.8,14.53
São Borja,RS,1,Milho,Grupo II,43.2,
São Borja,RS,2,Milho,Grupo II,60.0,
São Borja,RS,3,Milho,Grupo II,76.8,14.51
São Borja,RS,1,Milho,Grupo III,43.2,34.92
São Borja,RS,2,Milho,Grupo III,60.0,25.39
São Borja,RS,3,Milho,Grupo III,76.8,19.18
Tapera,RS,1,Milho,Grupo I,43.2,
Tapera,RS,2,Milho,Grupo I,60.0,51.08
Tapera,RS,3,Milho,Grupo I,76.8,47.56
Tapera,RS,1,Milho,Grupo II,43.2,
Tapera,RS,2,Milho,Grupo II,60.0,45.86
Tapera,RS,3,Milho,Grupo II,76.8,42.07
Tapera,RS,1,Milho,Grupo III,43.2,54.88
Tapera,RS,2,Milho,Grupo III,60.0,49.77
Tapera,RS,3,Milho,Grupo III,76.8,45.38
